Region,Geography,Physical Location,Availability Zones,Paired Region
Australia Central,Asia Pacific,Canberra,Not supported,Australia Central 2
Australia Central 2,Asia Pacific,,,
Australia East,Asia Pacific,New South Wales,3,Australia Southeast
Australia Southeast,Asia Pacific,Victoria,Not supported,Australia East
Brazil South,South America,Sao Paulo State,3,South Central US
Canada Central,Canada,Toronto,3,Canada East
Canada East,Canada,Quebec,Not supported,Canada Central
Central India,Asia Pacific,Pune,3,South India
Central US,US,Iowa,3,East US 2
East Asia,Asia Pacific,Hong Kong,3,Southeast Asia
East US,US,Virginia,3,West US
East US 2,US,Virginia,3,Central US
France Central,Europe,Paris,3,France South
France South,Europe,,,
Germany North,Europe,,,
Germany West Central,Europe,Frankfurt,3,Germany North
Israel Central,Middle East,Israel,3,N/A
Italy North,Europe,Milan,3,N/A
Japan East,Asia Pacific,Tokyo Saitama,3,Japan West
Japan West,Asia Pacific,Osaka,Not supported,Japan East
Korea Central,Asia Pacific,Seoul,3,Korea South
Korea South,Asia Pacific,Busan,Not supported,Korea Central
North Central US,US,Illinois,Not supported,South Central US
North Europe,Europe,Ireland,3,West Europe
Norway East,Europe,Norway,3,Norway West
Norway West,Europe,,,
Poland Central,Europe,Warsaw,3,N/A
Qatar Central,Middle East,Doha,3,N/A
South Africa North,Africa,Johannesburg,3,South Africa West
South Africa West,Africa,,,
South Central US,US,Texas,3,North Central US
South India,Asia Pacific,Chennai,Not supported,Central India
Southeast Asia,Asia Pacific,Singapore,3,East Asia
Sweden Central,Europe,GÃ¤vle,3,N/A
Switzerland North,Europe,Zurich,3,Switzerland West
Switzerland West,Europe,,,
UAE Central,Middle East,,,
UAE North,Middle East,Dubai,3,UAE Central
UK South,Europe,London,3,UK West
UK West,Europe,Cardiff,Not supported,UK South
West Central US,US,Wyoming,Not supported,West US 2
West Europe,Europe,Netherlands,3,North Europe
West US,US,California,Not supported,East US
West US 2,US,Washington,3,West Central US
West US 3,US,Phoenix,3,East US